How did Lincoln handle Fort Sumter?	He didn't send troops, he made the South decide whether to attack or not.
"<span class=""tags"">:</span><br /> Byzantine Empire  "	"Historians' name for the eastern portion of the Roman Empire from the fourth century until its downfall to the Ottomans in 1453. Famous for being a center of Orthodox Christianity and Greek-based culture.         <div><img src=""quizlet-7791349838_ecb57a65cc_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> caliphate  "	"Islamic empire ruled by those believed to be the successors to the Prophet Muhammad.         <div><img src=""quizlet-4520200341_e5513182ef_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> capitalism  "	The economic system of large financial institutions-banks, stock exchanges, investment companies-that first developed in early modern Europe. The belief that all people should seek their own profit gain and that doing so is beneficial to society. See Adam Smith, Wealth of Nations (1776).
"<span class=""tags"">:</span><br /> caravel  "	"A small, highly maneuverable three-masted ship used by the Portuguese and Spanish in the exploration of the Atlantic.         <div><img src=""quizlet-2605451674_242e0c1e66_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Carthage  "	City located in present-day Tunisia, founded by Phoenicians ca. 800 B.C.E. It became a major commercial center and naval power in the western Mediterranean until defeated by the expanding Roman Republic in the third century B.C.E.
"<span class=""tags"">:</span><br /> Catholic Reformation  "	Religious reform movement within the Latin Christian Church, begun in response to the Protestant Reformation. It clarified Catholic theology and reformed clerical training and discipline.
"<span class=""tags"">:</span><br /> Cecil Rhodes  "	"British entrepreneur and politician involved in the expansion of the British Empire from South Africa into Central Africa. The colonies of Southern Rhodesia (now Zimbabwe) and Northern Rhodesia (now Zambia) were named after him. (p. 736)         <div><img src=""quizlet-4664147868_069936f8d8_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Celts  "	Peoples sharing a common language and culture that originated in Central Europe in the first half of the first millennium B.C.E.. After 500 B.C.E. they spread as far as Anatolia in the east, Spain and the British Isles in the west. Conquered by Romans and displaced by Germans and other groups, today they are found in some corners of the British Isles.
"<span class=""tags"">:</span><br /> Champa Rice  "	Quick-maturing rice that can allow two harvests in one growing season. Originally introduced into Champa from India, it was later sent to China as a tribute gift by the Champa state (as part of the tributary system.)
"<span class=""tags"">:</span><br /> Charlemagne  "	"King of the Franks (r. 768-814); emperor (r. 800-814). Through a series of military conquests he established the Carolingian Empire, which encompassed all of Gaul and parts of Germany and Italy. Illiterate, though started an intellectual revival.         <div><img src=""quizlet-3914013358_0ed9e94c60_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Charles Darwin  "	"English naturalist. He studied the plants and animals of South America and the Pacific islands, and in his book On the Origin of Species by Means of Natural Selection (1859) set forth his theory of evolution.         <div><img src=""quizlet-6085444476_53fe176f43_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Chavin  "	"The first major urban civilization in South America (900-250 B.C.E.). Its capital was located high in the Andes Mountains of Peru. Chavin became politically and economically dominant in a densely populated region.         <div><img src=""quizlet-2054558558_428db00aa5_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Chiang Kai-Shek  "	"General and leader of Nationalist China after 1925. Although he succeeded Sun Yat-sen as head of the Guomindang, he became a military dictator whose major goal was to crush the communist movement led by Mao Zedong.         <div><img src=""quizlet-4988571876_ed286991e7_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> chiefdom  "	Form of political organization with rule by a hereditary leader who held power over a collection of villages and towns. Less powerful than kingdoms and empires, they were based on gift giving and commercial links.
"<span class=""tags"">:</span><br /> chinampas  "	"Raised fields constructed along lake shores in Mesoamerica to increase agricultural yields.         <div><img src=""quizlet-6698954055_2410c41120_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Christopher Columbus  "	Genoese mariner who in the service of Spain led expeditions across the Atlantic, reestablishing contact between the peoples of the Americas and the Old World and opening the way to Spanish conquest and colonization.
"<span class=""tags"">:</span><br /> city state  "	A small independent state consisting of an urban center and the surrounding agricultural territory. A characteristic political form in early Mesopotamia, Archaic and Classical Greece, Phoenicia, and early Italy.
"<span class=""tags"">:</span><br /> Cold War  "	The ideological struggle between communism (Soviet Union) and capitalism (United States) for world influence. The Soviet Union and the United States came to the brink of actual war during the Cuban missile crisis but never attacked one another.
"<span class=""tags"">:</span><br /> colonialism  "	Policy by which a nation administers a foreign territory and develops its resources for the benefit of the colonial power.
"<span class=""tags"">:</span><br /> Columbian Exchange  "	"The exchange of plants, animals, diseases, and technologies between the Americas and the rest of the world following Columbus's voyages.         <div><img src=""quizlet-4780005097_fd837c7ccb_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Confucius  "	"His doctrine of duty and public service had a great influence on subsequent Chinese thought and served as a code of conduct for government officials. Although his real name was Kongzi (551-479 B.C.E.).         <div><img src=""quizlet-466866299_a78acb1584_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Congress of Vienna  "	Meeting of representatives of European monarchs called to reestablish the old order and establish a plan for a new balance of power after the defeat of Napoleon.
"<span class=""tags"">:</span><br /> conquistadors  "	Early-sixteenth-century Spanish adventurers who conquered Mexico, Central America, and Peru. (Examples Cortez, Pizarro, Francisco.)
"<span class=""tags"">:</span><br /> Constantine  "	Roman emperor (r. 312-337). After reuniting the Roman Empire, he moved the capital to Constantinople and made Christianity a tolerated/favored religion.
"<span class=""tags"">:</span><br /> Constitutional Convention  "	"Meeting in 1787 of the elected representatives of the thirteen original states to write the Constitution of the United States.         <div><img src=""quizlet-3679492168_b46fd9d50f_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> constitutionalism  "	The theory developed in early modern England and spread elsewhere that royal power should be subject to legal and legislative checks.
"<span class=""tags"">:</span><br /> Indentured servitude  "	"A worker bound by a voluntary agreement to work for a specified period of years often in return for free passage to an overseas destination. Before 1800 most were Europeans; after 1800 most indentured laborers were Asians.         <div><img src=""quizlet-2178371601_87313c0ab0_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Cossacks  "	"Peoples of the Russian Empire who lived outside the farming villages, often as herders, mercenaries, or outlaws. Cossacks led the conquest of Siberia in the sixteenth and seventeenth centuries.         <div><img src=""quizlet-7528767174_bd04bd3b35_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> cottage industry  "	"Weaving, sewing, carving, and other small-scale industries that can be done in the home. The laborers, frequently women, are usually independent. Most manufacturing was done this way before the industrial revolution.         <div><img src=""quizlet-3374426803_39bac5b94d_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> cotton  "	"The plant that produces fibers from which many textiles are woven. Native to India, it spread throughout Asia and then to the New World. It has been a major cash crop in various places, including early Islamic Iran, Yi Korea, Egypt, and the US         <div><img src=""quizlet-8145399540_a86046785e_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> creoles  "	In colonial Spanish America, term used to describe someone of European descent born in the New World. Elsewhere in the Americas, the term is used to describe all nonnative peoples.
"<span class=""tags"">:</span><br /> Crusades  "	"Armed pilgrimages to the Holy Land by Christians determined to recover Jerusalem from Muslim rule. The Crusades brought an end to western Europe's centuries of intellectual and cultural isolation.         <div><img src=""quizlet-5256066103_0f49f44740_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Crystal Palace  "	"Building erected in London, for the Great Exhibition of 1851. Made of iron and glass, like a gigantic greenhouse, it was a symbol of the industrial age.         <div><img src=""quizlet-6141982760_ab22b75af9_m.jpg"" /></div>         "
